networkId,distance,waterLevel,batteryLevel,rssi,seqNumber,firmwareVersion,messageType,time,createdAt
14484CA7BED21,1.67,0.02,5.7,,,,,2023-12-11T10:12:30.000,2023-12-11T10:54:14.391
14484CA7BED21,1.67,0.02,5.7,,,,,2023-12-11T10:17:30.000,2023-12-11T10:54:18.104
14484CA7BED21,1.6600000000000001,0.03,5.7,,,,,2023-12-11T10:22:30.000,2023-12-11T10:54:22.459
14484CA7BED21,1.67,0.02,5.7,,,,,2023-12-11T10:27:30.000,2023-12-11T10:54:27.141
14484CA7BED21,1.65,0.04,5.7,,,,,2023-12-11T10:32:30.000,2023-12-11T10:54:31.117
14484CA7BED21,1.6600000000000001,0.03,5.7,,,,,2023-12-11T10:37:30.000,2023-12-11T10:54:35.095
14484CA7BED21,1.6600000000000001,0.03,5.7,,,,,2023-12-11T10:42:30.000,2023-12-11T10:54:39.055
14484CA7BED21,1.6600000000000001,0.03,5.7,,,,,2023-12-11T10:47:30.000,2023-12-11T10:54:42.362
14484CA7BED21,1.6600000000000001,0.03,5.7,,,,,2023-12-11T10:52:30.000,2023-12-11T10:54:46.235
14484CA7BED21,,,,6.0,17.0,"1,4",cfg,2023-12-11T10:53:24.293,2023-12-11T10:53:24.646
14484CA7BED21,1.65,0.04,6.2,,,,,2023-12-11T10:57:30.000,2023-12-11T12:33:27.977
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T11:02:30.000,2023-12-11T12:33:32.733
14484CA7BED21,1.65,0.04,6.2,,,,,2023-12-11T11:07:30.000,2023-12-11T12:33:37.611
14484CA7BED21,1.6400000000000001,0.05,6.2,,,,,2023-12-11T11:12:30.000,2023-12-11T12:33:42.720
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T11:17:30.000,2023-12-11T12:33:47.828
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T11:22:30.000,2023-12-11T12:33:52.900
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T11:27:30.000,2023-12-11T12:33:57.997
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T11:32:30.000,2023-12-11T12:34:00.302
14484CA7BED21,1.65,0.04,6.2,,,,,2023-12-11T11:37:30.000,2023-12-11T12:34:03.152
14484CA7BED21,1.65,0.04,6.2,,,,,2023-12-11T11:42:30.000,2023-12-11T12:34:07.022
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T11:47:30.000,2023-12-11T12:34:10.833
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T11:52:30.000,2023-12-11T12:34:14.737
14484CA7BED21,1.65,0.04,6.2,,,,,2023-12-11T11:57:30.000,2023-12-11T12:34:19.064
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T12:02:30.000,2023-12-11T12:34:22.913
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T12:07:30.000,2023-12-11T12:34:26.243
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T12:12:30.000,2023-12-11T12:34:30.187
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T12:17:30.000,2023-12-11T12:34:33.930
14484CA7BED21,3.32,0.0,6.2,,,,,2023-12-11T12:22:30.000,2023-12-11T12:34:37.827
14484CA7BED21,1.65,0.04,6.2,,,,,2023-12-11T12:27:30.000,2023-12-11T12:34:41.820
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T12:32:30.000,2023-12-11T12:34:45.609
14484CA7BED21,,,,7.0,18.0,"1,4",cfg,2023-12-11T12:33:21.447,2023-12-11T12:33:21.631
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T12:37:30.000,2023-12-11T14:13:32.468
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T12:42:30.000,2023-12-11T14:13:39.718
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T12:47:30.000,2023-12-11T14:13:45.745
