networkId,distance,waterLevel,batteryLevel,rssi,seqNumber,firmwareVersion,messageType,time,createdAt
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 12:42:30.000,2023-12-11 14:13:39.718
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 12:47:30.000,2023-12-11 14:13:45.745
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 12:52:30.000,2023-12-11 14:13:51.511
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 12:57:30.000,2023-12-11 14:14:24.246
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 13:02:30.000,2023-12-11 14:14:26.999
14484CA7BED21,165.0,0.04,6.2,,,,,2023-12-11 13:07:30.000,2023-12-11 14:14:32.579
14484CA7BED21,165.0,0.04,6.2,,,,,2023-12-11 13:12:30.000,2023-12-11 14:14:37.555
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 13:17:30.000,2023-12-11 14:14:42.578
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 13:22:30.000,2023-12-11 14:14:44.632
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 13:27:30.000,2023-12-11 14:14:52.358
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 13:32:30.000,2023-12-11 14:15:50.490
14484CA7BED21,170.0,0.0,6.2,,,,,2023-12-11 13:37:30.000,2023-12-11 14:15:55.152
14484CA7BED21,165.0,0.04,6.2,,,,,2023-12-11 13:42:30.000,2023-12-11 14:16:00.789
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 13:47:30.000,2023-12-11 14:16:05.983
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 13:52:30.000,2023-12-11 14:16:10.708
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 13:57:30.000,2023-12-11 14:16:14.950
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 14:02:30.000,2023-12-11 14:16:18.749
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 14:07:30.000,2023-12-11 14:16:22.310
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 14:12:30.000,2023-12-11 14:16:26.273
14484CA7BED21,168.0,0.01,6.0,,,,,2023-12-11 14:17:30.000,2023-12-11 15:53:25.304
14484CA7BED21,167.0,0.02,6.0,,,,,2023-12-11 14:22:30.000,2023-12-11 15:53:30.333
14484CA7BED21,165.0,0.04,6.0,,,,,2023-12-11 14:27:30.000,2023-12-11 15:53:35.288
14484CA7BED21,169.0,0.0,6.0,,,,,2023-12-11 14:32:30.000,2023-12-11 15:53:38.162
14484CA7BED21,167.0,0.02,6.0,,,,,2023-12-11 14:37:30.000,2023-12-11 15:53:42.788
14484CA7BED21,165.0,0.04,6.0,,,,,2023-12-11 14:42:30.000,2023-12-11 15:53:46.548
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 14:47:30.000,2023-12-11 15:53:51.881
14484CA7BED21,167.0,0.02,6.0,,,,,2023-12-11 14:52:30.000,2023-12-11 15:53:56.966
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 14:57:30.000,2023-12-11 15:54:02.021
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 15:02:30.000,2023-12-11 15:54:07.143
14484CA7BED21,166.0,0.03,6.0,,,,,2023-12-11 15:07:30.000,2023-12-11 15:54:12.386
